,MSA,MSADSCR,NAICS3_x,case_violtn_cnt,cmp_assd_cnt,ee_violtd_cnt,ee_atp_cnt,MinWage_Cases,MinWage_ATPAmt,MinWage_EmpAff,ChildLabor_Cases,ChildLabor_ATPAmt,ChildLabor_EmpAff,BMW_Cases,BMW_ATPAmt,BMW_EmpAff,All_AtpAmt,Other_Cases,Other_ATPAmt,Other_EmpAff,ESTB,EMPL_N,PAYR_N,NAICS3,NAICS3Desc
375,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",238,292485,3158430.0,261460,233920,251770,227400597.75,211820,0,0.0,0,0,0.0,0,803556688.5,40715,576156090.75,49640,4643.0,46610.0,2014456.0,238,Specialty Trade Contractors
376,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",311,7310,1144440.0,6885,6885,7310,9531345.8,6885,0,0.0,0,0,0.0,0,28586117.1,0,19054771.3,0,214.0,9617.0,390909.0,311,Food Manufacturing
377,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",312,765,0.0,680,595,765,1874653.75,595,0,0.0,0,0,0.0,0,5623961.25,0,3749307.5,85,69.0,2458.0,106229.0,312,Beverage and Tobacco Product Manufacturing
378,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",313,5440,0.0,5100,5015,5440,10322973.75,5015,0,0.0,0,0,0.0,0,15518517.15,0,5195543.4,85,17.0,469.0,9541.0,313,Textile Mills
379,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",315,7480,1360170.0,5525,5525,7480,8044760.4,5525,0,0.0,0,0,0.0,0,22387814.25,0,14343053.85,0,47.0,323.0,7028.0,315,Apparel Manufacturing
380,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",321,50490,3625462.5,41055,32640,49215,49163935.4,32640,1275,631125.0,510,0,0.0,0,138415718.7,0,88620658.3,8415,125.0,3565.0,123444.0,321,Wood Product Manufacturing
381,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",322,4080,0.0,3655,3485,3570,1379906.15,3485,0,0.0,0,0,0.0,0,4139718.45,510,2759812.3,170,49.0,1974.0,97897.0,322,Paper Manufacturing
382,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",323,5100,858330.0,4675,4590,5100,2632869.9,4590,0,0.0,0,0,0.0,0,7893231.75,0,5260361.85,85,224.0,2459.0,91970.0,323,Printing and Related Support Activities
383,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",325,510,701250.0,510,510,340,53172.6,340,0,0.0,0,0,0.0,0,2212874.7,170,2159702.1,170,142.0,4982.0,285647.0,325,Chemical Manufacturing
384,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",326,5100,0.0,4420,4250,3910,3726015.8,3655,85,0.0,85,0,0.0,0,14715024.9,1105,10989009.1,680,235.0,9654.0,380604.0,326,Plastics and Rubber Products Manufacturing
385,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",327,7310,0.0,6885,6800,7310,10849961.85,6800,0,0.0,0,0,0.0,0,32427261.15,0,21577299.3,85,159.0,5548.0,271903.0,327,Nonmetallic Mineral Product Manufacturing
386,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",331,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,60.0,3474.0,209997.0,331,Primary Metal Manufacturing
